51.7230	1.2317	6050
51.7151	1.1136	5593
51.7117	1.0641	5403
51.7086	1.0178	5197
51.7000	0.8937	4709
51.6958	0.8327	4458
51.6926	0.7863	4298
51.6871	0.7088	4122
51.6796	0.6045	3635
51.6745	0.5328	3307
51.6709	0.4826	3063
51.6656	0.4475	2896
51.6531	0.4132	2736
51.6357	0.3720	2492
51.6106	0.3113	2217
51.5941	0.2710	2004
51.5738	0.2214	1798
51.5508	0.1653	1699
51.5401	0.1391	1646
51.5280	0.1094	1577
51.5149	0.0770	1501
51.5048	0.0523	1448
51.4965	0.0321	1524
51.4782	-0.0648	1250
51.4783	-0.1060	1151
51.4783	-0.1463	998
51.4782	-0.1844	846
51.4782	-0.2121	732
51.4781	-0.2492	594
51.4781	-0.2841	465
51.4780	-0.3198	335
51.4780	-0.3454	365
51.4778	-0.4006	38
51.4778	-0.4136	0
